TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
114.6219958812,2,78420.8413092731,1336052.67208388,174.177979015742,83.2675303098187,30.473925286904,8.3932622722699E-05,0,-140.091222907258,162.265055883225,138.155727824516,76145.1260204238,64.3857208251953,118.108063676136,NaN,NaN,NaN
114.841995835304,2,78404.4210501427,1336083.21928256,174.893794527947,84.7656411541338,30.473925286904,8.42247417724576E-05,0,-140.887422982824,161.059155301666,138.569849643121,76136.4749906072,65.3306182861328,118.108063676136,NaN,NaN,NaN
115.061995789409,2,78387.6295000703,1336113.76476524,175.622830977917,86.2708348644437,30.473925286904,8.45121351765774E-05,0,-141.781970722051,159.919049207793,139.035247347749,76153.7818032125,66.0614227294922,118.108063676136,NaN,NaN,NaN
115.281995743513,2,78370.4666405368,1336144.30842708,176.364927597489,87.7827534853493,30.473925286904,8.48107707523778E-05,0,-142.70568189743,158.82753298536,139.484919088357,76173.9932789351,66.5947570800781,118.108063676136,NaN,NaN,NaN
115.501995697618,2,78352.9324530481,1336174.85310618,177.119923496998,89.3010618777269,30.473925286904,8.51181717212749E-05,0,-144.008045322223,156.774042622139,139.837069494956,76188.4307532906,67.0247009277344,118.108063676136,NaN,NaN,NaN
115.711605027318,2,78336.2465683885,1336206.51027844,177.835457546493,90.7222204250442,30.473925286904,0,0,-146.042505891914,153.648603159063,140.081376759348,76196.5588583081,67.3600280761719,118.108063676136,NaN,NaN,NaN
115.930081605911,2,78320.7923386431,1336236.84233904,178.495919537316,92.0189866820774,30.473925286904,0,0,-147.215816944598,152.567385237853,140.402310337727,76203.1023122801,67.4702301025391,118.108063676136,NaN,NaN,NaN
116.134183183312,2,78306.4703153178,1336265.17974229,179.106022497354,93.2049280386664,30.473925286904,0,0,-147.582802231523,152.837905989301,140.771391951433,76209.443037655,67.4711120605469,118.108063676136,NaN,NaN,NaN
116.378167584538,2,78288.6437817752,1336299.0518945,179.862535623802,94.6602195099885,30.473925286904,0,0,-147.995429695187,153.215830387511,141.222854679641,76216.5550405276,67.4683441162109,118.108063676136,NaN,NaN,NaN
116.602151975036,2,78271.6166251015,1336330.14480227,180.582196646277,96.0297426004702,30.473925286904,0,0,-148.378097688821,153.565523883479,141.643018524004,76222.1080741229,67.4657440185547,118.108063676136,NaN,NaN,NaN
116.892542585731,2,78255.1751095581,1336370.45963295,181.274017416753,97.3312990917007,30.473925286904,0,0,-148.736111395329,153.891908825677,142.037591514117,76227.1363203696,67.4632751464844,118.108063676136,NaN,NaN,NaN
117.16851913929,2,78234.7821201969,1336408.7722173,182.128358035005,98.9211940930634,30.473925286904,0,0,-149.166868193811,154.283720531908,142.514040586288,76231.7215528242,67.4602752685547,118.108063676136,NaN,NaN,NaN
